date,title,source,keyword_type
2023-08-03," This article is more than 5 months oldClimate crisis: Australia must ready for ‘devastating’ regional disruption, MPs toldThis article is more than 5 months old",The Guardian,Climate Crisis
2023-12-04, This article is more than 1 month oldThe Roman forts near Hadrian’s Wall are full of historical riches – and the climate crisis is destroying themThis article is more than 1 month oldRichard Hobbs,The Guardian,Climate Crisis
2022-11-07, Africa is being devastated by a climate crisis it didn’t cause. Cop27 must helpAmina J Mohammed,The Guardian,Climate Crisis
2018-07-23, The climate crisis is an accelerating calamity of our own making. So what would it take to turn things around?Lesley Hughes,The Guardian,Climate Crisis
2023-03-01," This article is more than 10 months oldWhen the climate crisis brings despair, I cultivate my inner connection to nature – and find hopeThis article is more than 10 months oldClaire Ratinon",The Guardian,Climate Crisis
2023-06-14, This article is more than 7 months oldIt’s not the job of children to fix the climate crisis. We must show them grown-ups are leading the wayThis article is more than 7 months oldCassy Polimeni,The Guardian,Climate Crisis
2021-11-01,ExplainerThe climate crisis explained in 10 charts,The Guardian,Climate Crisis
2022-03-31,"Cities need to be redesigned for the climate crisis. Can they make us happy, too?",The Guardian,Climate Crisis
2022-07-21,TV tonight: the oil industry experts who ignored climate crisis predictions,The Guardian,Climate Crisis
, Epaulette sharks able to walk on land evolving to better survive climate crisis,The Guardian,Climate Crisis
2021-11-08, ‘The time for change is now’: demonstrators around the world demand action on climate crisis,The Guardian,Climate Crisis
2021-12-14, Russia vetoes UN security council resolution linking climate crisis to international peace,The Guardian,Climate Crisis
2020-10-27," Rising risk of wildfires across UK from climate crisis, scientists warn",The Guardian,Climate Crisis
2021-12-09,"Frosts, heatwaves and wildfires: the climate crisis is hitting the wine industry hard",The Guardian,Climate Crisis
2020-11-10, Climate crisis: Scientists spot warning signs of Gulf Stream collapse,The Guardian,Climate Crisis
2020-10-29," Climate crisis is suffocating the world’s lakes, study finds",The Guardian,Climate Crisis
2020-05-19, High street shops in England and Wales repurposed as climate emergency centres,The Guardian,Climate Crisis
2021-01-10,‘What can we do?’ Chinese discuss role of climate crisis in deadly floods,The Guardian,Climate Crisis
2021-09-25, The climate crisis has made the idea of a better future impossible to imagineIan Jack,The Guardian,Climate Crisis
2023-09-23," Catastrophe, pollution, dirty subsidies and nature capitalism: another week in the climate crisisAdam Morton",The Guardian,Climate Crisis
2023-12-11," This article is more than 1 month oldClimate crisis could cause 10,000 extra UK deaths a year by 2050, says health bodyThis article is more than 1 month old",The Guardian,Climate Crisis
2023-06-09,‘They are overlooked by everybody’: elders in Ethiopia bear brunt of the climate crisis,The Guardian,Climate Crisis
2022-06-18, The climate crisis is hitting the planet’s working classes the hardest and they know itJeff Sparrow,The Guardian,Climate Crisis
2023-11-27," This article is more than 1 month oldDoes the way we talk about the climate crisis numb people with fear, rather than energising them?This article is more than 1 month oldRoger Harrabin",The Guardian,Climate Crisis
2022-08-04," Floods, storms and heatwaves are a direct product of the climate crisis – that’s a fact, so where is the action?John Vidal",The Guardian,Climate Crisis
2023-08-04, This article is more than 5 months oldGreens push Labor to release declassified climate crisis report ‘full of explosive truths’This article is more than 5 months old,The Guardian,Climate Crisis
2021-11-16," The Cop26 message? We are trusting big business, not states, to fix the climate crisisAdam Tooze",The Guardian,Climate Crisis
2021-11-03," We are in Glasgow to demand justice for those most affected by the climate crisisBernard Ewekia, Jakapita Kandanga, Edwin Namakanga, Maria Reyes and Farzana Faruk Jhumu",The Guardian,Climate Crisis
2022-04-17, Labour split by leadership call for action against climate crisis blockades,The Guardian,Climate Crisis
2022-07-22," Europe is ablaze, Italian glaciers are collapsing. The climate crisis is here!First Dog on the Moon",The Guardian,Climate Crisis
2023-01-28,Can board games teach us about the climate crisis? Game creators say yes,The Guardian,Climate Crisis
2021-08-25," AnalysisClimate crisis ‘unequivocally’ caused by human activities, says IPCC reportDamian Carrington Environment editor",The Guardian,Climate Crisis
2023-01-10," Relentless rain, record heat: study finds climate crisis worsened extreme weather",The Guardian,Climate Crisis
2022-11-16," What next, petrol on a Picasso? Threatening art is no answer to the climate crisisJonathan Jones",The Guardian,Climate Crisis
2021-11-12,AnalysisCop26 reveals limits of Biden’s promise to ‘lead by example’ on climate crisisOliver Milman,The Guardian,Climate Crisis
2023-08-29, This article is more than 4 months oldClimate crisis means quarter of European ski resorts face scarce snowThis article is more than 4 months old,The Guardian,Climate Crisis
2022-06-27," Australia ‘ill-prepared’ for food insecurity driven by war and climate crisis, former defence leaders say",The Guardian,Climate Crisis
2022-07-21, Weatherwatch: arrival of bee-eaters is a worrying sign of climate crisis,The Guardian,Climate Crisis
2022-04-19,InterviewJamie Raskin on the climate crisis: ‘We’ve got to save democracy in order to save our species’Ankita Rao,The Guardian,Climate Crisis
2023-07-28, This article is more than 5 months oldDigested week: Forget the climate crisis – re-election is Sunak’s only burning issueThis article is more than 5 months oldJohn Crace,The Guardian,Climate Crisis
2022-11-11, Cop27: Biden says leaders ‘can no longer plead ignorance’ over climate crisis,The Guardian,Climate Crisis
2023-03-05, This article is more than 10 months oldRevealed: cabinet ministers warned of legal action over UK’s failure to tackle climate crisisThis article is more than 10 months old,The Guardian,Climate Crisis
, Boris Johnson accused of climate crisis complacency after IPCC report,The Guardian,Climate Crisis
2019-06-09, Miami’s chief heat officer calls for action on ‘silent killer’ in climate crisis,The Guardian,Climate Crisis
2023-11-03, This article is more than 2 months oldClimate crisis talks resume on ‘loss and damage’ funding for poorest countriesThis article is more than 2 months old,The Guardian,Climate Crisis
2022-10-19, We know who caused the climate crisis – but they don’t want to pay for itVanessa Nakate,The Guardian,Climate Crisis
2021-09-02," Climate crisis likely creating extreme winter weather events, says report",The Guardian,Climate Crisis
2021-10-31,ReviewSaving Us by Katharine Hayhoe review – across the climate crisis divide,The Guardian,Climate Crisis
2021-11-11, Britain’s ageing fishing fleet a key contributor to climate crisis: report,The Guardian,Climate Crisis
2022-05-13," South Africa’s April floods made twice as likely by climate crisis, scientists say",The Guardian,Climate Crisis
2022-10-06,Weatherwatch: climate crisis causing tropical viruses to spread,The Guardian,Climate Crisis
2020-06-24, ‘Not too late’: Australian scientists call for urgent action to avoid worst of climate crisis,The Guardian,Climate Crisis
2023-01-05,Friday briefing: The climate crisis raged on in 2022 – is there any hope coming?,The Guardian,Climate Crisis
2021-10-05, ‘Climate crisis on our shores’: Mediterranean countries sign deal after summer of fires,The Guardian,Climate Crisis
2023-12-07,How US government diet guidelines ignore the climate crisis,The Guardian,Climate Crisis
2022-02-28,"AnalysisThis climate crisis report asks: what is at stake? In short, everythingDamian Carrington Environment editor",The Guardian,Climate Crisis
, ExplainerWhy has UK’s weather been so mild and is it linked to climate crisis?,The Guardian,Climate Crisis
2022-09-20,ReviewThe Ants and the Grasshopper review – from Malawi to the US to fight climate crisis,The Guardian,Climate Crisis
2023-09-23," This article is more than 7 months oldFrom the oceans to ‘net zero’ targets, we’re in denial about the climate crisisThis article is more than 7 months oldAdam Morton",The Guardian,Climate Crisis
, This article is more than 3 months oldPope urges rich world to make profound changes to tackle climate crisisThis article is more than 3 months old,The Guardian,Climate Crisis
2022-10-11, Beavers can help Britain fight the climate crisis – if we welcome them back Sophie Pavelle,The Guardian,Climate Crisis
2022-04-29," Climate crisis – not China – is biggest threat to Pacific, say former leaders",The Guardian,Climate Crisis
2022-09-29, America’s hardest-hit communities need Biden to declare a climate emergencyMustafa Santiago Ali,The Guardian,Climate Crisis
2023-11-30,The climate crisis explained in 10 charts,The Guardian,Climate Crisis
2022-08-30,‘It’s getting extremely hard’: climate crisis forces China to ration electricity,The Guardian,Climate Crisis
2022-06-23,LettersLivestock farmers are not the enemy in climate crisis battle,The Guardian,Climate Crisis
," Planes, trains and the climate crisis – why New Zealand shouldn’t be closing its railwaysRobert McLachlan",The Guardian,Climate Crisis
2023-09-04," This article is more than 4 months oldClimate crisis poses greatest risk to people with respiratory illnesses, experts warnThis article is more than 4 months old",The Guardian,Climate Crisis
2023-09-21, This article is more than 3 months oldThe media need to cover the climate crisis as seriously as it covered CovidThis article is more than 3 months oldMark Hertsgaard and Kyle Pope,The Guardian,Climate Crisis
2021-09-15,"Generational conflict over climate crisis is a myth, UK study finds",The Guardian,Climate Crisis
2023-10-12," This article is more than 3 months oldClimate crisis will make Europe’s beer cost more and taste worse, say scientistsThis article is more than 3 months old",The Guardian,Climate Crisis
2022-08-11,‘It’s a human rights issue’: young adults take Portugal climate crisis to court,The Guardian,Climate Crisis
2023-08-02, This article is more than 5 months old Colorado River has lost 10tn gallons of water since 2000 due to climate crisisThis article is more than 5 months old,The Guardian,Climate Crisis
2023-08-17," This article is more than 4 months oldTropical storms killing more Americans as climate crisis deepens, study findsThis article is more than 4 months old",The Guardian,Climate Crisis
2021-11-03,TV tonight: how the climate crisis is turning our weather wild,The Guardian,Climate Crisis
2018-05-21, Canadian Conservative party votes not to recognize climate crisis as real,The Guardian,Climate Crisis
2022-01-31,LettersEthical carbon offsetting has a role to play in tackling the climate crisis,The Guardian,Climate Crisis
2022-05-23, Deadly Indian heatwave made 30 times more likely by climate crisis,The Guardian,Climate Crisis
2023-01-05,US response to the climate emergency: key moments of 2022,The Guardian,Climate Crisis
2019-11-22, Climate crisis made deadly German floods ‘up to nine times more likely’,The Guardian,Climate Crisis
2022-02-28, US supreme court signals it may restrict EPA’s ability to fight climate crisis,The Guardian,Climate Crisis
2022-10-19,LettersWriting the wrongs of the climate crisis,The Guardian,Climate Crisis
2021-09-27, Labour promises to spend £28bn a year on tackling climate crisis,The Guardian,Climate Crisis
2018-05-11," If we want to fight the climate crisis, Sadiq Khan is the only choice for London mayorEd Miliband",The Guardian,Climate Crisis
2023-03-01,InterviewA greener Marx? Kohei Saito on connecting communism with the climate crisisMaya Goodfellow,The Guardian,Climate Crisis
2022-12-01, Endless debates about soup and paintings serve those who’d prefer we ignore the climate crisisZoe Williams,The Guardian,Climate Crisis
2019-08-21," If we can vaccinate the world, we can beat the climate crisisAbhijit Banerjee and Esther Duflo",The Guardian,Climate Crisis
2023-06-27,ReviewMy Extinction review – cheerfully dishevelled film-maker gets stuck into climate crisis,The Guardian,Climate Crisis
2022-08-02,Cricket must rethink sponsorship deals amid ongoing climate crisis,The Guardian,Climate Crisis
2023-12-11, This article is more than 1 month oldCalifornia children sue EPA over ‘intentional’ role in climate crisisThis article is more than 1 month old,The Guardian,Climate Crisis
2020-03-11,The Essex village cricket club going in to bat against climate crisis,The Guardian,Climate Crisis
2021-10-30,How do UK supermarkets rate on the climate crisis? ,The Guardian,Climate Crisis
2021-11-15,Where should I move to in order to best survive the climate crisis?,The Guardian,Climate Crisis
2021-11-17, ‘Journalists are PR department of Greenpeace’: Andrew Neil on climate crisis,The Guardian,Climate Crisis
2020-09-30, Johnson’s coalmine quip shows he thinks the climate crisis is a jokeEllie Mae O’Hagan,The Guardian,Climate Crisis
2021-09-19,"Beware summer! As climate crisis deepens, attitudes to season shift",The Guardian,Climate Crisis
2022-06-21, Anthony Albanese to order intelligence chief to examine security threats posed by climate crisis,The Guardian,Climate Crisis
, Biden under pressure to declare climate emergency after Manchin torpedoes bill,The Guardian,Climate Crisis
2022-11-04, ‘Carbon timebomb’: climate crisis threatens to destroy Congo peatlands,The Guardian,Climate Crisis
2022-11-08, African nations can’t ‘adapt’ to the climate crisis. Here’s what rich countries must doVanessa Nakate,The Guardian,Climate Crisis
2020-01-20," Climate crisis could trigger sewage surge in English rivers, MPs told",The Guardian,Climate Crisis
2023-12-26,Tuesday briefing: Why 2023 was a watershed year for the climate crisis ,The Guardian,Climate Crisis
2023-07-06," This article is more than 6 months oldAs some US cities confront the climate crisis, their lobbyists work for big oilThis article is more than 6 months old",The Guardian,Climate Crisis
2018-01-08,‘The next decade will be all about heat’: can Athens head off climate crisis?,The Guardian,Climate Crisis
2021-08-02, John Kerry: world leaders must step up to avoid worst impacts of climate crisis,The Guardian,Climate Crisis
2022-06-22," Queensland budget invests in national parks but ‘does nothing’ for climate crisis, critics say",The Guardian,Climate Crisis
2023-10-10," This article is more than 3 months oldClimate crisis costing $16m an hour in extreme weather damage, study estimatesThis article is more than 3 months old",The Guardian,Climate Crisis
2021-03-04,TV tonight: how science could reverse the climate crisis,The Guardian,Climate Crisis
2023-07-26,The Observer view on how the climate crisis should not be used as a political footballObserver editorial,The Guardian,Climate Crisis
2023-03-20, This article is more than 9 months oldScientists deliver ‘final warning’ on climate crisis: act now or it’s too lateThis article is more than 9 months old,The Guardian,Climate Crisis
2018-09-28,The ultimate shutdown: what if we could avoid climate crisis by sleeping for a year? ,The Guardian,Climate Crisis
2023-04-24, This article is more than 8 months oldFormer president of Kiribati backs legal case against Australia over inaction on climate crisisThis article is more than 8 months old,The Guardian,Climate Crisis
2023-05-25," This article is more than 7 months oldIf swing voters were terrified of the climate crisis, ministers would take it seriously This article is more than 7 months oldGaby Hinsliff",The Guardian,Climate Crisis
2018-03-27, Crises collide as climate emergency pushes America’s homeless population to the brink,The Guardian,Climate Crisis
2023-09-02, This article is more than 4 months oldArtist captures the impact of climate crisis over 150 years on Mont BlancThis article is more than 4 months old,The Guardian,Climate Crisis
2022-10-23,"Law governing Bureau of Meteorology must change to reflect climate crisis, says former chief",The Guardian,Climate Crisis
2022-07-26,‘A moral imperative’: how southern ministers are trying to change minds about the climate crisis,The Guardian,Climate Crisis
2022-12-11,The Observer view on the indefensible decision to open a deep coalmine in a climate crisisObserver editorial,The Guardian,Climate Crisis
2018-04-06, Butterfly numbers plummeting in US west as climate crisis takes toll,The Guardian,Climate Crisis
2022-12-18, A newborn held aloft in Pakistan sums up the sheer injustice of the climate crisisFatima Bhutto,The Guardian,Climate Crisis
," Crying about hamburgers is dead-end on climate crisis, Republicans warned",The Guardian,Climate Crisis
2021-10-21, Greta Thunberg accuses world leaders of being in denial over climate crisis,The Guardian,Climate Crisis
2022-09-22, Sky and the Australian find ‘no evidence’ of a climate emergency – they weren’t looking hard enoughGraham Readfearn,The Guardian,Climate Crisis
2021-09-27,"Stop, look and listen: artists’ startling responses to the climate crisis",The Guardian,Climate Crisis
2023-12-07, Revealed: 60% of Americans say oil firms are to blame for the climate crisis,The Guardian,Climate Crisis
2023-04-19,"‘It’s my calling’: Mikaela Loach, rising star of the climate crisis campaign",The Guardian,Climate Crisis
2023-05-18,AnalysisItaly’s disasters suggest the climate crisis is at the gates of EuropeDamien Gayle Environment correspondent,The Guardian,Climate Crisis
2022-06-22, Los Angeles may ban new gas stations to help combat climate emergency,The Guardian,Climate Crisis
, Activists take court action against Boris Johnson over climate crisis,The Guardian,Climate Crisis
2022-03-07," Climate crisis: Amazon rainforest tipping point is looming, data shows",The Guardian,Climate Crisis
2023-04-28," This article is more than 8 months oldYes, the climate crisis is raising your grocery billsThis article is more than 8 months oldSuzi Kerr",The Guardian,Climate Crisis
2022-08-11," America’s summer of floods: climate crisis fueling barrage, scientists say",The Guardian,Climate Crisis
2021-03-25," Climate crisis has shifted the Earth’s axis, study shows",The Guardian,Climate Crisis
2019-11-26," Climate crisis: our children face wars over food and water, EU deputy warns",The Guardian,Climate Crisis
2022-07-25," If Biden isn’t willing to really fight the climate crisis, he shouldn’t run in 2024Daniel Sherrell",The Guardian,Climate Crisis
2022-06-08," Climate crisis could make humans shrink in size, says fossil expert",The Guardian,Climate Crisis
2022-10-27," Climate crisis funds not reaching countries in need, senior UN official says",The Guardian,Climate Crisis
2023-12-07, Climate crisis has cost Colorado billions – now it wants oil firms to pick up the bill,The Guardian,Climate Crisis
2023-06-23, This article is more than 6 months oldWorld Bank offers developing countries debt pauses if hit by climate crisisThis article is more than 6 months old,The Guardian,Climate Crisis
2023-05-05, This article is more than 8 months oldApril Mediterranean heatwave ‘almost impossible’ without climate crisisThis article is more than 8 months old,The Guardian,Climate Crisis
2023-11-23, This article is more than 1 month oldThe climate emergency really is a new type of crisis – consider the ‘triple inequality’ at the heart of itThis article is more than 1 month oldAdam Tooze,The Guardian,Climate Crisis
2022-10-19,‘We have travelled for a month to find grass’: climate crisis piles pressure on Senegal’s herders ,The Guardian,Climate Crisis
2023-06-23, This article is more than 6 months oldAnalysisParis finance reforms could untie poor countries’ hands in climate crisis This article is more than 6 months oldFiona Harvey in Paris,The Guardian,Climate Crisis
2023-04-02,Cargo ships powered by wind could help tackle climate crisis,The Guardian,Climate Crisis
2023-08-18," This article is more than 4 months oldScientists lament Southern Ocean ‘data desert’, just as climate crisis brings frightening changes This article is more than 4 months old",The Guardian,Climate Crisis
2022-10-20,"LettersOverconsumption, not overpopulation, is driving the climate crisis",The Guardian,Climate Crisis
, UK banks to reveal exposure to climate crisis for first time,The Guardian,Climate Crisis
2021-10-27,ExplainerWhat’s the beef with cows and the climate crisis? ,The Guardian,Climate Crisis
2021-09-28, The trillions in our pension pots could be key to tackling the climate crisisRichard Curtis,The Guardian,Climate Crisis
2022-10-19,Interview‘2.4C is a death sentence’: Vanessa Nakate’s fight for the forgotten countries of the climate crisisZoe Williams,The Guardian,Climate Crisis
2023-03-01,How sugar kelp may help to tackle the climate crisis,The Guardian,Climate Crisis
2021-09-07, Congo’s latest killer is the climate crisis. Inaction is unthinkableVava Tampa,The Guardian,Climate Crisis
2023-03-02, Climate crisis leaving ‘millions at risk of trafficking and slavery’,The Guardian,Climate Crisis
2023-05-26,"LettersOn the climate crisis, we can’t afford to look the other way",The Guardian,Climate Crisis
2018-07-03, Third of global food production at risk from climate crisis,The Guardian,Climate Crisis
2023-12-07, Oil executives face ‘turning point’ US congressional hearing on climate crisis,The Guardian,Climate Crisis
2022-11-07," Climate crisis: past eight years were the eight hottest ever, says UN",The Guardian,Climate Crisis
2022-10-19,"‘Nothing to eat’: Somalia hit by triple threat of climate crisis, Covid and conflict",The Guardian,Climate Crisis
2022-07-19,LettersGovernment inertia is the biggest barrier to tackling climate crisis,The Guardian,Climate Crisis
2021-09-29, The climate crisis has sparked an economic arms race – and Australia cannot afford to stay idleMatt Kean,The Guardian,Climate Crisis
2023-07-27, This article is more than 5 months oldJoe Biden must declare a climate emergency. And he must do so nowThis article is more than 5 months oldPeter Kalmus,The Guardian,Climate Crisis
2022-06-02,Extinction obituary: how the Bramble Cay melomys became the first mammal lost to the climate crisis,The Guardian,Climate Crisis
2022-02-28," Impact of climate crisis much worse than predicted, says Alok Sharma",The Guardian,Climate Crisis
2023-08-22," This article is more than 4 months oldClimate crisis made spate of Canada wildfires twice as likely, scientists findThis article is more than 4 months old",The Guardian,Climate Crisis
2023-12-02, This article is more than 1 month oldDeveloping countries need private sector help. They can’t fight the climate crisis on their ownThis article is more than 1 month oldSultan Ahmed Al Jaber and William Ruto,The Guardian,Climate Crisis
2023-08-02,AnalysisWhy carbon capture and storage will not solve the climate crisis any time soon Sandra Laville,The Guardian,Climate Crisis
2022-08-04,Twelve angry children: young jurors call adults to account for climate crisis in The Trials,The Guardian,Climate Crisis
2023-03-08,ExplainerIs hydrogen really a clean enough fuel to tackle the climate crisis?,The Guardian,Climate Crisis
2021-10-26, Joanna Lumley says wartime-style rationing could help solve climate crisis,The Guardian,Climate Crisis
, CBI boss says world is ‘way off track’ in fight against climate crisis,The Guardian,Climate Crisis
2022-09-08, Sadiq Khan to publish ‘practical guide’ to the climate emergency,The Guardian,Climate Crisis
2023-12-07,Climate crimes: a new series investigating big oil’s role in the climate crisis,The Guardian,Climate Crisis
2021-07-20,AnalysisGermany’s Greens cautious over linking floods to climate crisisPhilip Oltermann in Berlin,The Guardian,Climate Crisis
2021-05-21, Climate crisis: Boris Johnson ‘too cosy’ with vested interests to take serious action,The Guardian,Climate Crisis
2021-09-21, Biden vows to double aid to developing countries vulnerable to climate crisis,The Guardian,Climate Crisis
2022-03-22," Climate crisis is greatest threat to Australia’s future and security, former defence leaders warn",The Guardian,Climate Crisis
2022-04-06, UK ‘too slow’ over climate crisis despite stark IPCC report,The Guardian,Climate Crisis
2024-01-03,Climate crisis: 2023 was UK’s second-hottest year on record,The Guardian,Climate Crisis
2023-08-07,Why aren’t we more scared of the climate crisis? It’s complicated,The Guardian,Climate Crisis
2021-10-26, Climate crisis ‘needs same urgency seen at start of Covid pandemic’,The Guardian,Climate Crisis
2018-07-16, Athens appoints chief heat officer to combat climate crisis,The Guardian,Climate Crisis
2023-08-22, This article is more than 4 months oldI’ve spent 40 years in Antarctic research. Right now it’s facing a climate emergency so we must not put vital science on iceThis article is more than 4 months oldDana M Bergstrom for the Conversation,The Guardian,Climate Crisis
2023-09-14, This article is more than 4 months oldUS launches $1bn tree-planting scheme to mitigate effects of climate crisisThis article is more than 4 months old,The Guardian,Climate Crisis
2022-07-18,LettersThe climate crisis is coming home in our sweltering cities,The Guardian,Climate Crisis
2023-12-26,Ski resorts battle for a future as snow declines in climate crisis,The Guardian,Climate Crisis
2022-05-18, Climate crisis makes extreme Indian heatwaves 100 times more likely – study,The Guardian,Climate Crisis
2023-11-06, This article is more than 2 months oldUK museums agree to collective action to tackle the climate crisisThis article is more than 2 months old,The Guardian,Climate Crisis
2023-07-11, This article is more than 6 months oldKing Charles meets Joe Biden in Windsor to discuss climate crisisThis article is more than 6 months old,The Guardian,Climate Crisis
2022-10-11,LettersKing Charles must lead by example on climate crisis,The Guardian,Climate Crisis
2021-11-02, Tackling deforestation must be at the heart of our response to the climate crisisZac Goldsmith,The Guardian,Climate Crisis
2023-10-31,"‘For us, the Amazon isn’t a cause, it’s our home’: the riverside communities stranded by the climate crisis",The Guardian,Climate Crisis
2019-08-20, Wealthy nations ‘failing to help developing world tackle climate crisis’,The Guardian,Climate Crisis
2022-12-15,‘Local is better’: battered Haiti looks to empower peasants to fight climate crisis ,The Guardian,Climate Crisis
2022-09-20,"Droughts, heat and fire: the future of wine in the climate crisis",The Guardian,Climate Crisis
, This article is more than 8 months oldHow an Arctic snow school aims to respond to climate crisis with Inuit helpThis article is more than 8 months old,The Guardian,Climate Crisis
2022-10-19,Poorer countries spend five times more on debt than climate crisis – report,The Guardian,Climate Crisis
2023-12-07, The grim stakes of climate crisis for my generation are undeniableMaya Ozbayoglu,The Guardian,Climate Crisis
2021-10-22, The media is still mostly failing to convey the urgency of the climate crisisMark Hertsgaard and Kyle Pope,The Guardian,Climate Crisis
2022-02-16,Should I have children? Weighing parenthood amid the climate crisis,The Guardian,Climate Crisis
2021-09-16, Children already have the facts. Now they need the tools to fix the climate crisisZoe Williams,The Guardian,Climate Crisis
2021-10-19,AnalysisShould Australia build nuclear power plants to combat the climate crisis?Royce Kurmelovs,The Guardian,Climate Crisis
2023-06-07, This article is more than 7 months old‘Game changing’: spate of US lawsuits calls big oil to account for climate crisisThis article is more than 7 months old,The Guardian,Climate Crisis
2018-05-08,"LettersTo deal with the climate crisis, the world needs more democracy",The Guardian,Climate Crisis
2022-10-19, India’s apple farmers count cost of climate crisis as snow decimates crops,The Guardian,Climate Crisis
2020-09-22, Train or plane? The climate crisis is forcing us to rethink all long-distance travelSimon Jenkins,The Guardian,Climate Crisis
2021-09-15, Four in 10 young people fear having children due to climate crisis,The Guardian,Climate Crisis
2022-04-04, Greta Thunberg to publish a ‘go-to source’ book on the climate crisis,The Guardian,Climate Crisis
2023-08-07,‘Despair is a luxury we can’t afford’: David Suzuki on fighting for action on the climate crisis,The Guardian,Climate Crisis
2023-02-02,Could putting the clock forward help tackle the climate crisis?,The Guardian,Climate Crisis
2021-11-03,LettersThose most vulnerable to the climate crisis must be at the heart of solutions ,The Guardian,Climate Crisis
2024-01-02,I thought most of us were going to die from the climate crisis. I was wrong,The Guardian,Climate Crisis
2019-08-09, Some say we can ‘solar-engineer’ ourselves out of the climate crisis. Don’t buy itRay Pierrehumbert and Michael Mann,The Guardian,Climate Crisis
2021-11-04, Pacific islanders aren’t just victims – we know how to fight the climate crisisBrianna Fruean,The Guardian,Climate Crisis
2018-09-21," Regulate business to tackle climate crisis, urges Mark Carney",The Guardian,Climate Crisis
2021-11-13," It’s half-time in Humanity v Climate Crisis, and Boris Johnson is our captainMarina Hyde",The Guardian,Climate Crisis
2022-08-01, The climate crisis is so boring – but I also hate the idea of burning to deathSofie Hagen,The Guardian,Climate Crisis
2021-08-26,Reporting on the climate crisis: ‘For years it was seen as a far-off problem’,The Guardian,Climate Crisis
2022-03-08," Six key lifestyle changes can help avert the climate crisis, study finds",The Guardian,Climate Crisis
2023-12-13, This article is more than 1 month oldAnalysisCritical or concerning? Cop28 debates role of carbon markets in climate crisisThis article is more than 1 month oldPatrick Greenfield and Fiona Harvey,The Guardian,Climate Crisis
2021-09-13,LettersDon’t tar all men with the climate crisis brush,The Guardian,Climate Crisis
2021-10-26, ‘Natural infrastructure’ could save billions a year in climate crisis response,The Guardian,Climate Crisis
2023-02-14, This article is more than 10 months oldNew Zealand minister decries climate crisis ‘lost decades’ in wake of Cyclone GabrielleThis article is more than 10 months old,The Guardian,Climate Crisis
,  Biden unveils extreme heat plan – but doesn’t declare climate emergency,The Guardian,Climate Crisis
2023-03-06,Can America’s low-cost mobile homes withstand the climate crisis?,The Guardian,Climate Crisis
2022-03-22,How wild animals can help control the climate crisis,The Guardian,Climate Crisis
, Exxon helped cause the climate crisis. It’s time they owned upMark Hertsgaard,The Guardian,Climate Crisis
2021-10-19, ‘Case closed’: 99.9% of scientists agree climate emergency caused by humans,The Guardian,Climate Crisis
2024-01-17,Climate crisis to increase cancer risk for tens of millions of people in Bangladesh,The Guardian,Climate Crisis
2023-11-29,ExplainerFrom tree planting to ‘sponge cities’: why nature-based solutions are crucial to fighting the climate crisis,The Guardian,Climate Crisis
2022-10-03, World Bank criticised over climate crisis spending,The Guardian,Climate Crisis
2024-01-06,"Heavy flooding is UK’s climate crisis ‘wake-up call’, says Tewkesbury Abbey canon",The Guardian,Climate Crisis
2022-04-19,Interview‘We’re trying to turn the magnet towards optimism’: Cate Blanchett on her new climate crisis podcastMiranda Sawyer,The Guardian,Climate Crisis
2022-10-19,Filipinos count cost of climate crisis as typhoons get ever more destructive,The Guardian,Climate Crisis
2021-09-23,"ReviewCan I Live? review – privilege, protest and the climate crisis",The Guardian,Climate Crisis
2023-09-05," This article is more than 4 months oldClimate crisis could contribute to a global food shortage by 2050, US special envoy on food security warnsThis article is more than 4 months old",The Guardian,Climate Crisis
2023-04-11, This article is more than 9 months oldSomalis are dying because of a climate crisis they didn’t cause. More aid isn’t the answerThis article is more than 9 months oldAbdirahman Abdishakur,The Guardian,Climate Crisis
, This article is more than 6 months oldScientists say poisonous pea could be made vital climate crisis cropThis article is more than 6 months old,The Guardian,Climate Crisis
2021-09-21," Climate crisis: history will judge failure to act, Johnson says at UN",The Guardian,Climate Crisis
, Joe Biden warns world faces ‘pivotal moment’ in fight against climate crisis - as it happened,The Guardian,Climate Crisis
2021-11-11, Barack Obama has a nerve preaching about the climate crisisKate Aronoff,The Guardian,Climate Crisis
2023-09-23, Facts must rise above the gas if Australia is to deal with the climate crisis Adam Morton,The Guardian,Climate Crisis
2023-03-21," This article is more than 9 months oldAs Pacific islanders, we bear the brunt of the climate crisis. The time to end fossil fuel dependence is nowThis article is more than 9 months oldRalph Regenvanu and Seve Paeniu",The Guardian,Climate Crisis
2020-03-11, Climate crisis to put millions of British homes at risk of subsiding,The Guardian,Climate Crisis
2022-07-18," Humanity faces ‘collective suicide’ over climate crisis, warns UN chief",The Guardian,Climate Crisis
2019-07-20,AnalysisUK political factions in the battle against the climate crisisRowena Mason Deputy political editor,The Guardian,Climate Crisis
2022-09-15,Americans learn skills to survive the climate crisis – in a wilderness course,The Guardian,Climate Crisis
2021-09-21, Johnson defends trade secretary after climate crisis denial tweets,The Guardian,Climate Crisis
2023-03-24, This article is more than 9 months oldUN conference hears litany of water disasters linked to climate crisisThis article is more than 9 months old,The Guardian,Climate Crisis
2021-07-15, Early cherry blossoms in Washington DC point to climate crisis,The Guardian,Climate Crisis
